Text,Intent,,
综 合 保 险,complicated,,
资 料 已 经 完 成 了,complicated,,
转 回 河 南 郑 州,complicated,,
住 院 可 以 报 销 吗,complicated,,
中 间 空 一 个 月,complicated,,
职 业 填 啥,complicated,,
直 接 问 第 三 方,complicated,,
只 做 当 月,complicated,,
只 是 额 度 受 影 响,complicated,,
只 能 一 起 交 吗,complicated,,
只 能 交 锦 江 区 吗,complicated,,
之 前 跟 你 聊 过 的,complicated,,
这 个 跟 后 面 小 孩 子 上 学 有 冲 突 嘛 ,complicated,,
这 边 公 司 要 转 入,complicated,,
找 别 家,complicated,,
怎 么 调 基,complicated,,
怎 么 算 出 来 的,complicated,,
怎 么 看 有 没 暂 停,complicated,,
怎 么 登 陆,complicated,,
在 哪 里 找,complicated,,
在 别 家 做 了,complicated,,
有 什 么 区 别 吗,complicated,,
有 客 户 这 么 做 吗,complicated,,
有 对 比 参 照 吗,complicated,,
有 必 要 交 最 高 吗,complicated,,
用 社 保 卡,complicated,,
银 行 卡 的 照 片,complicated,,
已 经 减 掉 了,complicated,,
一 月 未 缴 费,complicated,,
一 般 写 哪 天,complicated,,
也 是 老 客 户,complicated,,
也 没 查 到,complicated,,
要 验 证 码,complicated,,
要 连 续,complicated,,
验 证 码 给 我 吓,complicated,,
验 证 码,complicated,,
学 校 要 看,complicated,,
学 历 文 化 程 度,complicated,,
续 交 呢,complicated,,
需 要 停 的 对 吗,complicated,,
信 息 表 给 我,complicated,,
新 公 司 需 要,complicated,,
写 上 月 吧,complicated,,
小 城 镇 保 险,complicated,,
相 城 区 也 是 吗,complicated,,
现 在 要 怎 么 完 成,complicated,,
现 在 是 欠 费 状 态,complicated,,
现 在 是 交 几 月 的,complicated,,
现 在 离 职 了,complicated,,
现 在 付 款 给 你,complicated,,
下 个 月 我 再 办 卡,complicated,,
五 月 的 一 个 月,complicated,,
无 语 了 你 们,complicated,,
我 准 备 在 单 位 离 职 . 中 间 有 大 概 两 个 月 不 交 社 保 这 里 可 以 代 缴 吗,complicated,,
我 这 种 情 况,complicated,,
我 这 个 月 失 业,complicated,,
我 找 人 注 册 一 下,complicated,,
我 找 到 工 作 了,complicated,,
我 原 来 提 交 过,complicated,,
我 已 经 重 新 拍 了,complicated,,
我 已 经 入 住,complicated,,
我 一 直 上 海 工 作,complicated,,
我 要 找 别 家 代 缴,complicated,,
我 想 问 下 ， 这 个 广 州 社 保 的 生 育 报 销 是 什 么 ， 代 缴 的 社 保 也 能 享 受 吗,complicated,,
我 现 在 离 职 状 态,complicated,,
我 刷 卡 没 事 吧,complicated,,
我 怕 是 补 缴,complicated,,
我 那 边 才 好 交,complicated,,
我 还 能 续 上 吗,complicated,,
我 的 社 保 之 前 一 直 在 你 们 这 里 交 的   我 想 换 个 旺 旺 I D 缴 纳   行 不 行 啊,complicated,,
我 的 服 务 费 到 期 了 ,complicated,,
我 才 三 年,complicated,,
我 不 能 断 交,complicated,,
为 什 么 涨 价 了,complicated,,
外 地 人,complicated,,
外 地 没 有 工 作,complicated,,
外 地 的 能 交 吧,complicated,,
外 地 不 让 补 了,complicated,,
退 完 我 再 拍,complicated,,
同 事 也 需 要,complicated,,
同 事 补 三 四,complicated,,
调 整 到 多 少 了,complicated,,
她 补 三 四,complicated,,
所 以 需 要 转 移,complicated,,
所 以 才 考 虑 苏 州,complicated,,
是 因 为 稽 查 严 了,complicated,,
是 否 可 以 转 社 保,complicated,,
市 区 也 行,complicated,,
生 育 金 还 没 发,complicated,,
社 保 涨 了 是 吗,complicated,,
社 保 有 医 保 卡,complicated,,
社 保 是 变 高 了 吗,complicated,,
上 家 刚 转 出 来,complicated,,
上 班 呢,complicated,,
入 职 日 期 填 什 么,complicated,,
如 果 还 是 不 行,complicated,,
亲 请 问 你 们 之 前 有 帮 回 国 留 学 生 缴 社 保 吗 ,complicated,,
你 这 边 有 渠 道 吗,complicated,,
你 们 试 一 下 嘛,complicated,,
你 没 说 不 能 调 啊,complicated,,
你 觉 得 有 必 要 吗,complicated,,
能 领 多 长 时 间,complicated,,
能 办 理 社 保 转 移 吗,complicated,,
那 最 多 能 贷 多 少,complicated,,
那 现 在 要 填 什 么,complicated,,
那 我 换 家 吧,complicated,,
那 能 有 合 同 吗,complicated,,
那 就 没 办 法 了 吗,complicated,,
目 前 封 存 不 了,complicated,,
明 天 可 以 吗,complicated,,
没 有 其 他 办 法 吗,complicated,,
没 有 劳 动 合 同 吗,complicated,,
没 去 更 新 过,complicated,,
麻 烦 通 过 下,complicated,,
六 月 中 旬 才 开 始,complicated,,
六 月 就 停 缴,complicated,,
聊 城 社 保 代 缴 一 年 多 钱,complicated,,
离 职 日 期,complicated,,
老 人 也 不 行 是 么,complicated,,
可 以 代 办 吗,complicated,,
居 住 证 咋 弄,complicated,,
居 住 证 代 办 吗,complicated,,
就 去 柜 台 去 啦,complicated,,
今 天 看 还 是 停 缴,complicated,,
今 天 刚 离 职,complicated,,
缴 费 基 数 填 什 么,complicated,,
基 数 怎 么 填 写,complicated,,
积 分 之 后 再 说,complicated,,
黄 孟 琪 的 继 续 缴,complicated,,
花 呗 算 信 用 卡 么,complicated,,
户 籍 就 是 户 口,complicated,,
后 来 休 息 一 年,complicated,,
和 社 保 卡 吗,complicated,,
还 是 只 买 一 份,complicated,,
还 是 必 须 裸 的,complicated,,
还 能 改 吗,complicated,,
还 得 重 新 交 吗,complicated,,
公 司 帮 我 交 了,complicated,,
公 司 帮 忙 交,complicated,,
公 积 金 有 点 用 吗,complicated,,
公 积 金 断 了,complicated,,
工 资 呢,complicated,,
给 你 们 不 搭 嘎 的,complicated,,
刚 离 职 不 想 断,complicated,,
封 存 了,complicated,,
费 用 怎 么 算 的,complicated,,
多 少 个 月,complicated,,
但 是 还 没 更 新,complicated,,
但 是 不 能 断,complicated,,
单 独 交 生 育 险,complicated,,
承 诺 人 王 贞,complicated,,
差 价 那 个 链 接,complicated,,
不 要 工 资 个 税,complicated,,
不 说 是 查 询 晚 啊,complicated,,
不 能 中 断,complicated,,
补 交 和 正 常 交 有 什 么 区 别 ,complicated,,
必 须 是 现 金 对 吧,complicated,,
包 括 生 育 险 没 有,complicated,,
办 日 本 签 证,complicated,,
nono 最 晚 26,complicated,,
9 月 截 止 了,complicated,,
9 月 份 参 保 的 话 参 保 信 息 提 交 的 截 止 时 间 是,complicated,,
9 月 26 日 入 职,complicated,,
840 呀 怎 么 是 130601 了,complicated,,
70 每 月 乘 12 个 月,complicated,,
7 月 以 后 退 吗,complicated,,
7 月 底 刚 办 完 深 户 ， 准 备 申 请 入 户 补 贴 ， 应 该 缴 哪 一 档 的 社 保 ,complicated,,
7 号 之 后,complicated,,
6 月 份 可 以 补 交 到 2018 年 11 月 份 的 社 保 吗,complicated,,
5 月 开 始 社 保 费 用 下 调 了,complicated,,
5 月 份 公 司 会 交 但 是 我 马 上 辞 职 了 6 月 份 开 始 社 保 就 要 断 了,complicated,,
5 月 份 的 现 在 下 单 吗,complicated,,
5 月 份 的 你 们 这 边 还 是 会 交 吧,complicated,,
40 的 拍 5 份 是 吧,complicated,,
4 月 离 职 了,complicated,,
4 月 份 邮 箱 有 通 知,complicated,,
4 月 的 不 是 你 们 帮 我 缴 纳 的 嘛,complicated,,
4 5 月 的 240 的 预 调 基 的 钱 什 么 时 候 才 可 以 退,complicated,,
39735 那 个 是 什 么 呀,complicated,,
3500 觉,complicated,,
3500 的,complicated,,
2000 多 吧,complicated,,
2 3 的 基 数 是 多 少 4 月 的 是 多 少,complicated,,
2 3 4 这 几 个 月 的 比 例 能 不 能 给 我 下,complicated,,
15 号 之 前 下 单 都 可 以 交 是 吧,complicated,,
120656 是 每 月 费 用 吗,complicated,,
120656 包 括 哪 些 费 用,complicated,,
120 元 是 怎 么 回 事,complicated,,
1000 可 以 贷 50 万 吗,complicated,,
10 月 开 始,complicated,,
10 月 公 司 可 以 交 的,complicated,,
10 月 份 开 始 给 我 缴 纳,complicated,,
1 年 之 内 这 个 业 务 是 暂 停 的 是 吧,complicated,,
[图片] 单 月 是 这 个 吗,complicated,,
[表情] 那 活 不 到 60 呢,complicated,,
[表情] 可 能 会 交 不 上 是 吧,complicated,,
[表情] 还 要 分 开 啊,complicated,,
[表情] 不 知 道 的 可 以 不 写 吗,complicated,,
真 是 搞 笑,complain,,
这 不 是 理 由,complain,,
你 们 很 不 诚 信,complain,,
你 了 解 的 有 吗,complain,,
没 看 到 信 息 啊,complain,,
嗯 蛮 贵,complain,,
上 个 月 还 是 两 个,clarify,,
您 是 说 我 的,clarify,,
你 们 提 供 吗,clarify,,
缴 纳 得 公 司 名 称 是 什 么,clarify,,
40 为 啥 三 个,clarify,,
咨 询 下,chitchat,,
这 么 麻 烦,chitchat,,
这 个 月 辞 职 了,chitchat,,
这 都 要 收 费,chitchat,,
暂 时 不 想 工 作,chitchat,,
在 请 问 下,chitchat,,
又 多 收 钱,chitchat,,
有 朋 友 说,chitchat,,
辛 苦 了,chitchat,,
小 孩 还 很 小,chitchat,,
想 咨 询 下,chitchat,,
想 问 下,chitchat,,
享 受 北 京 的,chitchat,,
现 在 需 要 手 术,chitchat,,
现 在 去 拍,chitchat,,
现 在 就 填,chitchat,,
现 在 都 五 月 了 哈,chitchat,,
先 问 问,chitchat,,
我 之 前 去 医 院,chitchat,,
我 小 孩 读 书,chitchat,,
我 想 问 一 下,chitchat,,
我 想 请 问 一 下,chitchat,,
我 问 一 下,chitchat,,
我 朋 友 要 交,chitchat,,
我 很 快,chitchat,,
我 帮 她 推 荐,chitchat,,
退 来 退 去 麻 烦,chitchat,,
挺 快,chitchat,,
是 的 好 郁 闷,chitchat,,
如 果 在 你 这 缴,chitchat,,
请 问 一 下,chitchat,,
请 问,chitchat,,
亲 亲,chitchat,,
气 死 我 了,chitchat,,
那 我 去 下 单 了,chitchat,,
那 就 是 很 快 了,chitchat,,
那 好 久 能 查 到,chitchat,,
没 说 不 可 以 呀,chitchat,,
忙 忘 了,chitchat,,
马 上 就 能 做,chitchat,,
麻 烦 弄 一 下,chitchat,,
麻 烦 了,chitchat,,
麻 烦,chitchat,,
两 年 多,chitchat,,
来 吧,chitchat,,
快 点,chitchat,,
看 下 上 面 的 留 言,chitchat,,
开 票 也 要 钱,chitchat,,
今 天 我 拍 进 去,chitchat,,
换 工 作 好 麻 烦,chitchat,,
很 厉 害 啊,chitchat,,
好 几 年 的 钱,chitchat,,
好 的 我 问 问,chitchat,,
还 有 个 问 题,chitchat,,
哈 哈,chitchat,,
给 你 介 绍 朋 友 来,chitchat,,
尴 尬 了,chitchat,,
放 心 吧,chitchat,,
不 会 忘 记 的,chitchat,,
哔 哔 哔 受 不 了,chitchat,,
这 样 可 以 了 吗,check_is_possible,,
这 样 不 行 吗,check_is_possible,,
是 不 是 就 可 以 了,check_is_possible,,
是 不 是 不 行 啊,check_is_possible,,
如 果 可 以,check_is_possible,,
可 以 么,check_is_possible,,
可 以 吗,check_is_possible,,
可 以 吧,check_is_possible,,
行 吧,check_is_possible,,
不 能 弄 一 下 吗,check_is_possible,,
这 个 月 能 交 么,check_can_pay_current_month,,
这 个 月 还 能 交 吗,check_can_pay_current_month,,
现 在 能 汇 缴 么,check_can_pay_current_month,,
现 在 来 不 及 了 ,check_can_pay_current_month,,
五 月 可 以 交 吗,check_can_pay_current_month,,
五 月 还 能 缴 吗,check_can_pay_current_month,,
来 得 及 吧,check_can_pay_current_month,,
还 来 的 及 吗,check_can_pay_current_month,,
5 月 确 定 可 以 交 上 是 吧,check_can_pay_current_month,,
5 月 份 的 没 法 交 了 吗,check_can_pay_current_month,,
5 月 份 的 还 能 交 吗,check_can_pay_current_month,,
5 月 份 的 不 能 交 吗,check_can_pay_current_month,,
5 月 底 拍 是 不 是 也 来 得 及,check_can_pay_current_month,,
5 月 的 五 险 现 在 可 以 缴 纳 吗,check_can_pay_current_month,,
4 月 份 还 能 缴 么,check_can_pay_current_month,,
您 看 一 下,ask_verify,,
您 看 下,ask_verify,,
你 这 边 看 一 下,ask_verify,,
你 那 里 能 看 到 吗,ask_verify,,
你 们 再 确 认 一 下,ask_verify,,
你 们 看 看,ask_verify,,
看 得 到 么,ask_verify,,
好 了 你 看 看,ask_verify,,
公 积 金 收 到 了,ask_verify,,
帮 我 确 认 一 下,ask_verify,,
帮 我 看 一 下,ask_verify,,
帮 我 查 一 下,ask_verify,,
帮 忙 看 下 哈,ask_verify,,
一 般 几 号,ask_turnaround_time,,
要 多 久 呢,ask_turnaround_time,,
什 么 时 候 可 以 搞,ask_turnaround_time,,
什 么 时 候 搞 好,ask_turnaround_time,,
今 天 缴 什 么 时 候 能 在 系 统 看 到,ask_turnaround_time,,
几 号 可 以 转 出 来,ask_turnaround_time,,
转 出 了 吗,ask_shebao_status,,
这 边 我 的 缴 上 了 吗,ask_shebao_status,,
有 具 体 的 明 细 吗,ask_shebao_status,,
有 缴 费 明 细 吗,ask_shebao_status,,
我 这 个 月 需 要 交 多 少 钱,ask_shebao_status,,
我 想 看 下 账 单 明 细,ask_shebao_status,,
我 订 单 进 度 是 这 样 的   应 该 没 有 什 么 问 题 吧,ask_shebao_status,,
我 的 社 保 转 出 了 吗,ask_shebao_status,,
我 的 社 保 交 了 吗,ask_shebao_status,,
我 的 公 积 金 转 出 了 吗,ask_shebao_status,,
我 的 公 积 金 交 好 了 吗,ask_shebao_status,,
我 的 公 积 金 封 存 了 吗,ask_shebao_status,,
请 问 我 的 缴 公 积 金 基 数 是 多 少 ， 我 忘 记 了,ask_shebao_status,,
请 问 公 积 金 有 帮 我 转 出 吗,ask_shebao_status,,
请 不 要 停 缴 ， 我 明 天 中 午 去 缴,ask_shebao_status,,
你 们 可 以 看 到 成 功 了 吗 ,ask_shebao_status,,
那 我 八 月 份 呢,ask_shebao_status,,
麻 烦 问 下 ， 社 保 公 积 金 交 了 没,ask_shebao_status,,
交 好 了 吗,ask_shebao_status,,
公 积 金 交 了 吗,ask_shebao_status,,
帮 我 交 了 吗,ask_shebao_status,,
5 月 几 号 可 以 查 询,ask_shebao_status,,
4 月 份 的 社 保 和 公 积 金 已 经 缴 纳 了 吧,ask_shebao_status,,
你 们 可 以 开 发 票 吗,ask_kai_piao,,
可 以 开 发 票 吗,ask_kai_piao,,
可 以 发 票 吗,ask_kai_piao,,
开 发 票 可 以 吗,ask_kai_piao,,
发 票 可 以 吗,ask_kai_piao,,
怎 么 办,ask_how_now,,
我 怎 么 办 呢,ask_how_now,,
我 上 面 要 怎 么 办,ask_how_now,,
那 什 么 办 啊,ask_how_now,,
怎 么 退,ask_for_refund,,
怎 么 拿 钱,ask_for_refund,,
那 我 先 退 了 吧,ask_for_refund,,
那 你 们 先 退,ask_for_refund,,
可 以 退 吗,ask_for_refund,,
帮 我 退 款 吧,ask_for_refund,,
有 明 细 没 亲,ask_for_details,,
优 惠 吗,ask_discount,,
给 我 做 减 员 了 吗,ask_discount,,
可 以 交 补 充 公 积 金 吗,ask_can_topup_gjj,,
可 以 补 交 公 积 金 吗,ask_can_topup_gjj,,
公 积 金 怎 么 补,ask_can_topup_gjj,,
公 积 金 可 以 补 吗,ask_can_topup_gjj,,
公 积 金 补 缴,ask_can_topup_gjj,,
补 交 公 积 金 可 以 吗,ask_can_topup_gjj,,
怎 么 补 啊,ask_can_topup,,
要 补 缴 社 保,ask_can_topup,,
需 要 补 缴 社 保,ask_can_topup,,
现 在 还 能 补 么,ask_can_topup,,
我 要 补 缴 社 保,ask_can_topup,,
我 可 以 补 缴 社 保 吗,ask_can_topup,,
我 补 三 月,ask_can_topup,,
所 以 想 先 补 缴,ask_can_topup,,
社 保 可 以 补 交 吗,ask_can_topup,,
社 保 补 缴,ask_can_topup,,
上 海 社 保 能 补 缴 吗,ask_can_topup,,
上 海 社 保 可 以 补 缴 吗,ask_can_topup,,
上 海 的 社 保 可 以 补 交 吗,ask_can_topup,,
请 问 上 海 社 保 能 补 缴 吗,ask_can_topup,,
能 补 交 上 吗,ask_can_topup,,
那 我 能 补 缴 吗,ask_can_topup,,
可 以 这 样 补 缴 么,ask_can_topup,,
可 以 后 付 吗,ask_can_topup,,
可 以 补 么,ask_can_topup,,
可 以 补 吗,ask_can_topup,,
可 以 补 缴 社 保 吗,ask_can_topup,,
可 以 补 交 社 保 吗,ask_can_topup,,
断 了 的 可 以 补 吗,ask_can_topup,,
补 三 月,ask_can_topup,,
补 缴 费 用 一 样,ask_can_topup,,
手 续 费 多 少,ask_amt_service_fee,,
服 务 费 多 少 钱,ask_amt_service_fee,,
服 务 费 多 少,ask_amt_service_fee,,
代 理 费 多 少,ask_amt_service_fee,,
总 计 多 少 钱,ask_amt_month_fee_total,,
总 共 多 少 钱,ask_amt_month_fee_total,,
只 交 五 险 多 钱 少,ask_amt_month_fee_total,,
这 月 社 保 多 少,ask_amt_month_fee_total,,
一 共 多 少 钱,ask_amt_month_fee_total,,
一 个 月 是 多 少,ask_amt_month_fee_total,,
要 付 多 少 钱,ask_amt_month_fee_total,,
需 要 缴 纳 多 少 钱,ask_amt_month_fee_total,,
社 保 多 少 一 个 月,ask_amt_month_fee_total,,
请 问 一 个 月 多 少 钱,ask_amt_month_fee_total,,
每 个 月 缴 费 多 少,ask_amt_month_fee_total,,
俩 一 起 多 少,ask_amt_month_fee_total,,
缴 纳 基 数 呢,ask_amt_month_fee_total,,
缴 费 基 数 是 多 少,ask_amt_month_fee_total,,
公 积 金 最 低 队 少,ask_amt_month_fee_total,,
费 用 是 多 少,ask_amt_month_fee_total,,
费 用 和 材 料,ask_amt_month_fee_total,,
多 少 钱 了,ask_amt_month_fee_total,,
多 少 钱 ,ask_amt_month_fee_total,,
多 少 钱,ask_amt_month_fee_total,,
大 概 多 少 钱,ask_amt_month_fee_total,,
我 这 边 要 调 整 公 积 金 基 数,ask_amt_gongjijin,,
真 麻 烦 你 了,apology,,
所 以 打 扰 了,apology,,
麻 烦 您 了,apology,,
麻 烦 你 了,apology,,
不 好 意 思 哦,apology,,
不 好 意 思,apology,,
哦 哦 知 道 了 谢 谢,affirm#thankyou,,
好 的 谢 谢 你,affirm#thankyou,,
好 的 谢 谢,affirm#thankyou,,
好 的 谢 了,affirm#thankyou,,
好 吧 谢 谢 啦,affirm#thankyou,,
哦 哦 麻 烦 了,affirm#chitchat,,
做 啊,affirm,,
知 道 了,affirm,,
知 道 的,affirm,,
有 的,affirm,,
有,affirm,,
以 前 可 以,affirm,,
已 经 付 好 啦,affirm,,
要 的,affirm,,
要,affirm,,
需 要 的,affirm,,
先 这 样 吧 不 改 了,affirm,,
五 月 也 是,affirm,,
我 最 低 就 可 以,affirm,,
我 知 道,affirm,,
我 有,affirm,,
搜 好 了,affirm,,
收 费 可 以,affirm,,
是 这 样 的,affirm,,
是 的,affirm,,
是,affirm,,
确 定 是 这 个 月 哦,affirm,,
哦 哦 知 道 了,affirm,,
哦 哦 哦,affirm,,
哦 哦 好 的,affirm,,
哦 哦,affirm,,
哦 好 的,affirm,,
哦 对,affirm,,
哦,affirm,,
那 没 事,affirm,,
那 就 这 样,affirm,,
那 就 办 吧,affirm,,
那 好,affirm,,
明 白 了 的,affirm,,
明 白 了,affirm,,
明 白,affirm,,
没 问 题,affirm,,
俩 账 户 都 有,affirm,,
理 解,affirm,,
了 解 了,affirm,,
了 解,affirm,,
可 以 了,affirm,,
可 以 的,affirm,,
可 以,affirm,,
看 到 了,affirm,,
居 住 证 有 的,affirm,,
就 这 样,affirm,,
就 这 个,affirm,,
就 是,affirm,,
好 哦,affirm,,
好 那,affirm,,
好 了 哦,affirm,,
好 了,affirm,,
好 滴,affirm,,
好 的 亲,affirm,,
好 的 好 的,affirm,,
好 的,affirm,,
好 哒,affirm,,
好 吧,affirm,,
好,affirm,,
行 吧 尽 量 快 点 哦,affirm,,
行,affirm,,
哈 哈 哈 哈 好 的,affirm,,
够 的,affirm,,
嗯 呢,affirm,,
嗯 肯 定 的,affirm,,
嗯 好 稍 等,affirm,,
嗯 好,affirm,,
嗯 咯,affirm,,
嗯 嗯 是 的,affirm,,
嗯 嗯 好 的,affirm,,
嗯 嗯,affirm,,
嗯 啊,affirm,,
嗯,affirm,,
恩 呢,affirm,,
恩 好 的,affirm,,
恩,affirm,,
额 好,affirm,,
额,affirm,,
对 了,affirm,,
对 的 上 海 的,affirm,,
对 的 呢,affirm,,
对 的,affirm,,
对 啊,affirm,,
对,affirm,,
都 可 以,affirm,,
嗷 嗷 懂 了,affirm,,
嗷 嗷,affirm,,
啊,affirm,,
OK 了 都,affirm,,
ok 不 影 响 就 好,affirm,,
OK,affirm,,
1 5 月 有,affirm,,
[表情] 好,affirm,,
我 爸 自 己 不 会 查 我 不 在 家,chitchat,,
那 你 说 的 那 3000 是 什 么 意 思 呢,confused,,
这 个 跟 后 面 小 孩 子 上 学 有 冲 突 嘛,query_various_effects,,
7 月 底 刚 办 完 深 户 准 备 申 请 入 户 补 贴 应 该 缴 哪 一 档 的 社 保,query_various_effects,,
公 积 金 套 现 可 以 嘛,unsupported_request,,
可 以 提 取 公 积 金 吗,unsupported_request,,
提 取 公 积 金 可 以 嘛,unsupported_request,,
这 里 可 以 提 取 公 积 金 嘛,unsupported_request,,
