0,1,2
需 要 啥,requirements,O O O
我 要 准 备 什 么 资 料 么,requirements,O O O O 0 O O O O
是 要 什 么 么,requirements,O O O O O
什 么 时 候 需 要 资 料 呀,requirements,0 O O O O O O O O
缺 什 么,requirements,O 0 O
那 要 什 么 交,requirements,O O O O O
那 我 应 该 提 供 些 什 么 材 料,requirements,O O O O O O O 0 O O O
落 户 上 海 需 要 什 么 材 料,requirements,O O B-city I-city O O 0 O O O
交 上 海 社 保 要 什 么 资 料,requirements,O B-city I-city O O O 0 O O O
几 号 之 前 需 要 提 交 资 料,requirements,O O O O O O O O O O
好 需 要 提 供 啥,requirements,O O O O O O
都 需 要 我 准 备 什 么,requirements,O O O O O O 0 O
都 需 要 提 供 给 你 什 么 资 料,requirements,O O O O O O O 0 O O O
都 需 要 什 么 资 料 啊,requirements,O O O 0 O O O O
都 需 要 什 么 资 料,requirements,O O O 0 O O O
不 出 具 资 料,requirements,O O O O O
必 须 工 行 卡 吗,requirements,O O O O O O
五 险 一 金,shebao#gongjijin,0 0 0 0
社 保 公 积 金 呢,shebao#gongjijin,0 0 0 0 0 0
社 保 公 积 金,shebao#gongjijin,O O O O O
社 保 + 公 积 金,shebao#gongjijin,O O O O O O
有 闲 林 这 边 的 社 保 吗,shebao_details,O B-city I-city O O O O O O
有 闲 林 的 吗,shebao_details,O B-city I-city O O
想 问 下 上 海 社 保 的 情 况,shebao_details,O O O B-city I-city O O O O O
社 保 一 共 交 满 几 年,shebao_details,O O 0 O O O O O
社 保 哪 几 种,shebao_details,O O O O O
社 保 代 缴 是 五 险 都 包 含 的 吧,shebao_details,O O O O O 0 O O O O O O
现 在 怀 孕 四 个 月 之 前 上 海 社 保 已 经 交 满 一 年 交 到 生 产 当 月 可 以 领 生 育 津 贴 吗,shengyunjingtie,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
你 们 代 缴 社 保 后 期 可 以 领 取 生 育 津 贴 吗,shengyunjingtie,O O O O O O O O O O O O O O O O O
谢 谢 您,thankyou,O O O
谢 谢 你 了,thankyou,O O O O
谢 谢 啊,thankyou,O O O
谢 谢,thankyou,O O
谢 了,thankyou,O O
填 好 了 谢 谢 你,thankyou,O O O O O O
哦 哦 谢 谢,thankyou,O O O O
合 作 愉 快,thankyou,O O O O
好 谢 谢 谢 谢,thankyou,O O O O O
好 谢 谢,thankyou,O O O
好 的 谢 谢 你 啦,thankyou,O O O O O O
好 的 谢 谢 你 哈,thankyou,O O O O O O
好 的 谢 谢 你,thankyou,O O O O O
好 的 谢 谢 啦,thankyou,O O O O O
好 的 谢 谢,thankyou,O O O O
好 吧 谢 谢 啦,thankyou,O O O O O
感 谢,thankyou,O O
改 个 价 谢 谢,thankyou,O O O O O
tks,thankyou,O
有 微 信 吗,weixin,O O O O
可 以 加 微 信 吗,weixin,O O O O O O
最 低 基 数,what_fee,B-pricerange I-pricerange O O
最 低 的 额 度 是 多 少,what_fee,B-pricerange I-pricerange O O O O O 0
总 计 多 少 钱,what_fee,O O O O O
总 共 多 少 钱,what_fee,O O O O O
只 交 社 保 多 少 钱,what_fee,O O O O O O O
这 月 社 保 多 少,what_fee,B-month I-month O O O O
这 个 社 保 公 积 金 一 共 多 少 钱,what_fee,O O O O O O O 0 O O O O
长 沙 社 保 代 缴 怎 么 收 费,what_fee,B-city I-city O O O O O O O O
一 个 月 是 多 少 钱 的,what_fee,0 0 0 O O O O O
一 个 月 是 多 少,what_fee,0 0 0 O O O
要 付 多 少 钱,what_fee,O O O O O
需 要 缴 纳 多 少 钱,what_fee,O O O O O O O
现 在 一 个 月 最 低 是 多 少 钱,what_fee,O O 0 0 0 B-pricerange I-pricerange O O O O
手 续 费 多 少,what_fee,O O O O O
是 怎 么 收 费 的 呀,what_fee,O O O O O O O
社 保 最 低 档 多 少 钱,what_fee,O O B-pricerange I-pricerange O O O O
社 保 加 公 积 金 我 每 个 月 要 交 多 少 钱,what_fee,O O O O O O O 0 0 0 O O O O O
社 保 加 公 积 金 上 海 的 一 个 月 差 不 多 要 多 少,what_fee,O O O O O O O O O 0 0 0 O O O O O O
社 保 公 积 金 一 起 做 收 多 少 服 务 费 啊,what_fee,O O O O O 0 O O O O O O O O O
上 海 这 边 社 保 公 积 金 代 缴 要 怎 么 收 费 呢,what_fee,B-city I-city O O O O O O O O O O O O O O O
上 海 多 少,what_fee,B-city I-city O O
请 问 一 个 月 多 少 钱,what_fee,O O 0 0 0 O O O
请 问 成 都 代 缴 社 保 多 少 钱,what_fee,O O B-city I-city O O O O O O O
您 好 五 险 一 金 服 务 费 怎 么 收,what_fee,O O O 0 0 0 O O O O O O
你 好 问 一 下 7900 的 基 数 公 积 金 代 缴 是 付 多 少,what_fee,O O O O O B-fee O O O O O O O O O O O O
你 好 贵 店 代 缴 长 沙 社 保 每 个 月 缴 多 少,what_fee,O O O O O O B-city I-city O O O O O O O O
那 我 最 终 是 要 交 多 少,what_fee,O O O O O O O O O
每 个 月 缴 费 多 少,what_fee,O O O O O O O
聊 城 社 保 代 缴 一 年 多 钱,what_fee,O O O O O O 0 O O O
俩 一 起 多 少,what_fee,0 0 O O O
就 是 一 个 月 交 多 少 钱 呢,what_fee,O O 0 0 0 O O O O O
缴 纳 基 数 呢,what_fee,O O O O O
公 积 金 最 低 多 少,what_fee,O O O B-pricerange I-pricerange O O
服 务 费 五 险 一 金 多 少,what_fee,O O O 0 0 0 O O O
服 务 费 多 少,what_fee,O O O O O
费 用 是 多 少,what_fee,O O O O O
多 少 手 续 费 我 补 给 你,what_fee,O O O O O O O O O
多 少 钱 了,what_fee,O O O O
多 少 钱,what_fee,O O O
代 理 费 多 少,what_fee,O O O O O
代 缴 社 保 费 用 是 怎 么 收 费 的 呀,what_fee,O O O O O O O O O O O O O
代 缴 社 保 费 用,what_fee,O O O O O O
代 缴 杭 州 社 保 怎 么 收 费,what_fee,O O B-city I-city O O O O O O
大 概 多 少 钱,what_fee,O O O O O
费 用 和 材 料,what_fee#requirement,O O O O O
